class,ruletype,linguistic pattern,patterntype,subject,predicate,object,condAB,condBA,supA,supB,supAB,AllConf,Coherence,Cosine,IR,Kulczynski,MaxConf,string,order of arguments
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,the first,twogram,,http://dbpedia.org/property/pubDate,,1,0.004676539360873,6,1283,6,0.004676539360873,0.004654771140419,0.068385227650955,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and 'the first' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,a children's,twogram,,http://dbpedia.org/property/pubDate,,1,0.006235385814497,8,1283,8,0.006235385814497,0.006196746707978,0.078964459185746,0.993764614185503,0.503117692907249,1,"{ dbo:Book in c_e and 'a children's' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,on October,twogram,,http://dbpedia.org/property/pubDate,,1,0.004676539360873,6,1283,6,0.004676539360873,0.004654771140419,0.068385227650955,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and 'on October' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,released on,twogram,,http://dbpedia.org/property/pubDate,,1,0.008573655494934,11,1283,11,0.008573655494934,0.008500772797527,0.092594035957689,0.991426344505066,0.504286827747467,1,"{ dbo:Book in c_e and 'released on' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,the United,twogram,,http://dbpedia.org/property/pubDate,,1,0.003897116134061,5,1283,5,0.003897116134061,0.00388198757764,0.06242688630759,0.996102883865939,0.50194855806703,1,"{ dbo:Book in c_e and 'the United' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,on August,twogram,,http://dbpedia.org/property/pubDate,,1,0.004676539360873,6,1283,6,0.004676539360873,0.004654771140419,0.068385227650955,0.995323460639127,0.502338269680436,1,"{ dbo:Book in c_e and 'on August' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,written by,twogram,,http://dbpedia.org/property/pubDate,,1,0.027279812938426,35,1283,35,0.027279812938426,0.026555386949924,0.165166016293987,0.972720187061574,0.513639906469213,1,"{ dbo:Book in c_e and 'written by' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,published by,twogram,,http://dbpedia.org/property/pubDate,,1,0.030397505845674,39,1283,39,0.030397505845674,0.029500756429652,0.174348805116852,0.969602494154326,0.515198752922837,1,"{ dbo:Book in c_e and 'published by' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,English author,twogram,,http://dbpedia.org/property/pubDate,,1,0.003897116134061,5,1283,5,0.003897116134061,0.00388198757764,0.06242688630759,0.996102883865939,0.50194855806703,1,"{ dbo:Book in c_e and 'English author' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
http://dbpedia.org/ontology/Book,predict_p_for_s_given_localized_l,a novel,twogram,,http://dbpedia.org/property/pubDate,,1,0.019485580670304,25,1283,25,0.019485580670304,0.019113149847095,0.139590761407423,0.980514419329696,0.509742790335152,1,"{ dbo:Book in c_e and 'a novel' in l_e(c,p,so) } => { exists o : (e, dbp:pubDate, o) in G }",so
